	Word	PoS	Freq
	the	Det	61847
	of	Prep	29391
	and	Conj	26817
	a	Det	21626
	in	Prep	18214
	to	Inf	16284
	it	Pron	10875
	is	Verb	9982
	to	Prep	9343
	was	Verb	9236
	I	Pron	8875
	for	Prep	8412
	that	Conj	7308
	you	Pron	6954
	he	Pron	6810
	be*	Verb	6644
	with	Prep	6575
	on	Prep	6475
	by	Prep	5096
	at	Prep	4790
	have*	Verb	4735
	are	Verb	4707
	not	Neg	4626
	this	DetP	4623
	's	Gen	4599
	but	Conj	4577
	had	Verb	4452
	they	Pron	4332
	his	Det	4285
	from	Prep	4134
	she	Pron	3801
	that	DetP	3792
	which	DetP	3719
	or	Conj	3707
	we	Pron	3578
	's	Verb	3490
	an	Det	3430
	~n't	Neg	3328
	were	Verb	3227
	as	Conj	3006
	do	Verb	2802
	been	Verb	2686
	their	Det	2608
	has	Verb	2593
	would	VMod	2551
	there	Ex	2532
	what	DetP	2493
	will	VMod	2470
	all	DetP	2436
	if	Conj	2369
	can	VMod	2354
	her*	Det	2183
	said	Verb	2087
	who	Pron	2055
	one	Num	1962
	so	Adv	1893
	up	Adv	1795
	as	Prep	1774
	them	Pron	1733
	some	DetP	1712
	when	Conj	1712
	could	VMod	1683
	him	Pron	1649
	into	Prep	1634
	its	Det	1632
	then	Adv	1595
	two	Num	1561
	out	Adv	1542
	time	NoC	1542
	my	Det	1525
	about	Prep	1524
	did	Verb	1434
	your	Det	1383
	now	Adv	1382
	me	Pron	1364
	no	Det	1343
	other	Adj	1336
	only	Adv	1298
	just	Adv	1277
	more	Adv	1275
	these	DetP	1254
	also	Adv	1248
	people	NoC	1241
	know	Verb	1233
	any	DetP	1220
	first	Ord	1193
	see	Verb	1186
	very	Adv	1165
	new	Adj	1145
	may	VMod	1135
	well	Adv	1119
	should	VMod	1112
	her*	Pron	1085
	like	Prep	1064
	than	Conj	1033
	how	Adv	1016
	get	Verb	995
	way	NoC	958
	one	Pron	953	
	our	Det	950
	made	Verb	943
	got	Verb	932
	after	Prep	927
	think	Verb	916
	between	Prep	903
	many	DetP	902
	years	NoC	902
	er	Uncl	896
	've	Verb	891	
	those	DetP	888
	go	Verb	881
	being	Verb	862
	because*	Conj	852
	down	Adv	845
	're	Verb	835
	yeah	Int	834
	three	Num	797
	good	Adj	795
	back	Adv	793
	make	Verb	791
	such	DetP	763
	on	Adv	756
	there	Adv	746
	through	Prep	743
	year	NoC	737
	over	Prep	735
	'll	VMod	726
	must	VMod	723
	still	Adv	718
	even	Adv	716
	take	Verb	715
	too	Adv	701
	more	DetP	699
	here	Adv	699
	own	DetP	695
	come	Verb	695
	last	Ord	691
	does	Verb	687
	oh	Int	684
	say	Verb	679
	no	Int	662
	going*	Verb	658
	'm	Verb	658
	work	NoC	653
	where	Adv	628
	erm	Uncl	627
	us	Pron	623
	government	NoC	622
	same	DetP	615
	man	NoC	614
	might	VMod	614
	day	NoC	610
	yes	Int	606
	however	Adv	605
	put	Verb	596
	world	NoC	590
	over	Adv	584
	another	DetP	581
	in	Adv	573
	want	Verb	572
	as	Adv	567
	life	NoC	566
	most	Adv	565
	against	Prep	562
	again	Adv	561
	never	Adv	559
	under	Prep	553
	old	Adj	544
	much	DetP	531
	something	Pron	526
	Mr	NoC	524		
	why	Adv	509
	each	DetP	508
	while	Conj	503
	house	NoC	501
	part	NoC	496
	number	NoC	493
	out of	Prep	491
	found*	Verb	489	
	off	Adv	486
	different	Adj	484
	went	Verb	483
	really	Adv	481
	'	Gen	479
	thought	Verb	473
	came	Verb	472
	used	Verb	469
	children	NoC	466
	always	Adv	462
	four	Num	461
	where	Conj	458
	without	Prep	456
	give	Verb	451
	few	DetP	450
	within	Prep	449
	about	Adv	447
	system	NoC	447
	local	Adj	445
	place	NoC	443
	great	Adj	442
	during	Prep	440
	although	Conj	436
	small	Adj	435
	before	Prep	434
	look	Verb	433
	next	Ord	431
	when	Adv	431
	case	NoC	431
	end	NoC	429
	things	NoC	424
	social	Adj	422
	most	DetP	422
	find	Verb	420
	group	NoC	414
	quite	Adv	412
	mean	Verb	411
	five	Num	407
	party	NoC	403
	every	Det	401
	company	NoC	401
	women	NoC	399
	says	Verb	398
	important	Adj	392
	took	Verb	391
	much	Adv	390
	men	NoC	389
	information	NoC	386
	1	Num	385
	per cent	NoC	382
	both	Adv	378
	national	Adj	376
	often	Adv	376
	seen	Verb	376
	given	Verb	375
	school	NoC	375
	fact	NoC	374
	money	NoC	374
	told	Verb	372
	away	Adv	371
	high	Adj	370
	point	NoC	369
	night	NoC	365
	state	NoC	364
	business	NoC	358
	second	Ord	358 	
	British	Adj	357
	need	Verb	356
	taken	Verb	355
	done	Verb	354
	right	Adj	354
	'd [= would]	VMod	353
	having	Verb	353
	thing	NoC	352
	looked	Verb	352
	London	NoP	351
	area	NoC	351
	perhaps	Adv	350
	head	NoC	350
	water	NoC	349
	right	Adv	346
	family	NoC	345
	long	Adj	345
	2	Num	344
	hand	NoC	344
	like	Verb	344
	already	Adv	343
	possible	Adj	342
	nothing	Pron	341
	yet	Adv	337
	large	Adj	337
	left	Verb	336
	side	NoC	335
	asked	Verb	334
	set	Verb	332
	whether	Conj	332
	days	NoC	331
	mm	Int	330
	home	NoC	330
	called	Verb	329
	John	NoP	328
	development	NoC	324
	week	NoC	322
	such as	Prep	321
	use	Verb	319
	country	NoC	319
	power	NoC	318
	ca~	VMod	318
	later	Adv	317
	almost	Adv	316
	'd [= had]	Verb	315
	young	Adj	315
	council	NoC	313
	himself	Pron	311
	of course	Adv	310
	far	Adv	310
	both	DetP	310
	use	NoC	310
	room	NoC	309
	together	Adv	308
	tell	Verb	307
	little	Adj	306
	political	Adj	306
	before	Conj	305
	able	Adj	304
	become	Verb	304
	six	Num	303
	general	Adj	301
	service	NoC	300
	eyes	NoC	297
	members	NoC	297
	since	Conj	295
	times	NoC	292
	problem	NoC	290
	anything	Pron	288
	market	NoC	287
	towards	Prep	286
	court	NoC	285
	public	Adj	285
	others	NoC	282
	face	NoC	282
	full	Adj	281
	doing	Verb	279
	war	NoC	279
	car	NoC	278
	felt	Verb	278
	police	NoC	278
	keep	Verb	276
	held	Verb	276
	problems	NoC	275
	road	NoC	273
	probably	Adv	273
	help	Verb	272
	interest	NoC	272
	available	Adj	272
	law	NoC	270
	best	Adj	266
	form	NoC	266
	A / a	Lett	266
	looking	Verb	264
	early	Adj	264
	making	Verb	264
	today	Adv	263
	mother	NoC	262
	saw	Verb	261
	knew	Verb	261
	education	NoC	260
	work	Verb	260
	actually	Adv	260
	policy	NoC	260
	ever	Adv	259
	so	Conj	258
	at least	Adv	257
	office	NoC	257
	am	Verb	256
	research	NoC	256
	feel	Verb	256
	big	Adj	255
	body	NoC	255
	door	NoC	254
	let	Verb	253
	Britain	NoP	251
	3	Num	250
	name	NoC	250
	person	NoC	250
	services	NoC	249
	months	NoC	248
	report	NoC	248
	question	NoC	248
	using	Verb	247
	health	NoC	246
	turned	Verb	246
	lot*	NoC	246
	million	NoC	245
	main	Adj	245
	though	Conj	245
	words	NoC	244
	enough	Adv	244
	child	NoC	244
	less	Adv	243
	book	NoC	243
	period	NoC	243
	until	Conj	242
	several	DetP	240
	sure	Adj	240
	father	NoC	239
	for example	Adv	239
	level	NoC	239
	control	NoC	238
	known	Verb	238
	society	NoC	238
	major	Adj	238
	seemed	Verb	238
	around	Prep	237
	began	Verb	237
	itself	Pron	237
	themselves	Pron	237
	minister	NoC	237
	economic	Adj	236
	wanted	Verb	234
	upon	Prep	234
	areas	NoC	234
	after	Conj	233
	therefore	Adv	232
